"Data";"Descrição";"Crédito";"Débito"
"01/03/2026";"QR Code Pix recebido - Mtminas Engenharia E Empreendimentos Ltda Epp (15a34f3e-ed4a-4a5a-9689-16ea3c35161b)";"15,00";""
"01/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (be401215-9494-4b22-aa7a-52ea0a54a13e)";"9,76";""
"01/03/2026";"Vendas - Disponivel PIX (309786a6-9f4c-4d60-a7b6-fe47156f7a7a)";"2,94";""
"01/03/2026";"Vendas - Disponivel PIX (50857ef0-9009-4337-8ac8-be7f19b6619b)";"24,53";""
"01/03/2026";"Vendas - Disponivel PIX (feecee90-68d7-438b-8cfb-a14f3805d9ee)";"58,87";""
"01/03/2026";"Vendas - Disponivel PIX (5a42c220-01fb-49a0-be87-02c58e1f8143)";"14,72";""
"01/03/2026";"Vendas - Disponivel PIX (0a7bb77c-6851-48cc-92d5-d26421d739d5)";"9,81";""
"01/03/2026";"Vendas - Disponivel PIX (e6a57a72-ae1d-4d61-a9dc-219489a02e1f)";"14,72";""
"01/03/2026";"Vendas - Disponivel DEBITO VISA (8b03c4f5-4115-465e-a1de-68cdbeca3c11)";"29,28";""
"01/03/2026";"Vendas - Disponivel PIX (422e1cdf-5c22-4b6a-80c7-10b3374d6cd6)";"14,72";""
"01/03/2026";"Vendas - Disponivel PIX (77b2fd58-3dc0-478c-851d-60cd0bb32400)";"9,81";""
"01/03/2026";"Vendas - Disponivel CREDITO VISA (2faf48a0-2f17-4a4c-bc3d-5285bfc45b3a)";"14,40";""
"01/03/2026";"Vendas - Disponivel PIX (a6f4c7da-77f2-431d-9424-d5f76f0046f3)";"4,91";""
"01/03/2026";"Vendas - Disponivel PIX (d5b1363b-ba2a-4a9e-af95-417da6a5886e)";"29,43";""
"01/03/2026";"Vendas - Disponivel PIX (93cf1b0e-0c71-4f5c-a318-afdc12caf29d)";"4,91";""
"01/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (a5e500df-b50f-41ea-accf-204322a781e6)";"7,68";""
"01/03/2026";"Vendas - Disponivel PIX (5754c848-8f93-4685-b129-2cf6a49cc3fa)";"7,85";""
"01/03/2026";"Vendas - Disponivel PIX (719038fa-7d38-4af5-9ca8-06c35a6f5b94)";"19,62";""
"01/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (3351404d-9d65-4406-a11e-009d7ed5bc48)";"7,81";""
"01/03/2026";"Vendas - Disponivel PIX (79a24926-9d69-431b-a9b1-ddfdcc5bf3f4)";"52,00";""
"01/03/2026";"Vendas - Disponivel PIX (85fa1b16-ca15-4515-ac49-f6de44acfea6)";"14,72";""
"01/03/2026";"Vendas - Disponivel PIX (b5fb7af1-f15d-441f-bfed-c20402456acf)";"14,72";""
"01/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (ad7cce65-095b-4b96-93cb-19ddb5606fc1)";"4,88";""
"01/03/2026";"Vendas - Disponivel PIX (78babc1a-6fce-4545-b108-7f76c62e318e)";"29,43";""
"01/03/2026";"Vendas - Disponivel PIX (104024d6-d212-40ae-8263-07a7bb39a18a)";"14,72";""
"01/03/2026";"Vendas - Disponivel PIX (125d40a7-a710-4095-ac9e-77a32dcf01e4)";"44,15";""
"01/03/2026";"Vendas - Disponivel PIX (186c27f3-08e7-4ebb-97bb-dd81bf2cf739)";"29,43";""
"01/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (a61dbe3b-9843-40ec-a844-154c5110af89)";"14,64";""
"01/03/2026";"Pix enviado - Givanil Alves Dos Santos (dbab3fc1-b9e5-4891-9796-8e1494dfe9cd)";"";"50,00"
"01/03/2026";"Rendimento da conta - Rendimento líquido sobre dinheiro em conta (c6fac118-a03f-0b9e-bfe6-68d0830b76f6)";"0,02";""
"02/03/2026";"Rendimento da conta - Rendimento líquido sobre dinheiro em conta (7c247198-19c0-02d8-897f-2097667c513b)";"0,01";""
"04/03/2026";"Pix recebido - Maria De Lourdes Santos De Moraes (305c4217-236c-4107-b3b6-0d1160d6a643)";"10,00";""
"05/03/2026";"Pix recebido - Marionice Santos Silva Faria (8d00de46-f342-4445-90b0-1ccc39ba915d)";"160,00";""
"05/03/2026";"Rendimento da conta - Rendimento líquido sobre dinheiro em conta (fc300cca-e599-03d3-abd9-c8d5520b7ccd)";"0,07";""
"08/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (ac3ca633-6901-4d69-ad69-5e468f4ce4ce)";"14,40";""
"08/03/2026";"Vendas - Disponivel PIX (1c81c16f-7217-4538-810e-03638944373b)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (ffe44b25-76a4-4eb3-b708-54d30ea269f7)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (68c7bac0-5eaf-4653-b860-57993aada897)";"44,15";""
"08/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (84222564-7e1c-424b-b874-1e1084e3ce90)";"29,28";""
"08/03/2026";"Vendas - Disponivel PIX (7f66aab5-7ceb-4a91-aab0-31df92f27e9a)";"14,72";""
"08/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (3689d89f-f4e9-4946-920c-35f8af6a7abc)";"29,28";""
"08/03/2026";"Vendas - Disponivel PIX (a0b28826-fa6b-4f28-9a85-90376dcf3e27)";"14,72";""
"08/03/2026";"Vendas - Disponivel PIX (1f45af71-fc43-4c20-a4d5-5fed6de4d83a)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (e62b40a1-34c5-4911-b76b-16b9ae84d25c)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (07ac95dc-e7bc-4c5d-bf18-a121a0870a6f)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (db27d89e-4457-4dd8-9299-617e035b624b)";"29,43";""
"08/03/2026";"Vendas - Disponivel PIX (090006b2-abbf-4f05-8789-46c563653b0e)";"14,72";""
"08/03/2026";"Vendas - Disponivel PIX (7c4c6382-66b1-4b44-8dd4-8fbccb0bc7b6)";"14,72";""
"08/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (853d05bd-0c97-4bcf-b319-9b799d3f6aa5)";"43,20";""
"08/03/2026";"Vendas - Disponivel DEBITO ELO (4a1b0a09-2f22-439d-b694-8f54693eb94a)";"29,11";""
"08/03/2026";"Pix recebido - Maria De Lourdes Santos De Moraes (88bc053b-d3dc-4536-99cd-a6a55c35f8dd)";"10,00";""
"08/03/2026";"Vendas - Disponivel DEBITO VISA (060551c6-d837-4be8-a113-39bd0f50d455)";"14,64";""
"08/03/2026";"Vendas - Disponivel PIX (d3ca9653-c4a8-4736-8709-d7c3af900939)";"14,72";""
"09/03/2026";"Pix enviado - Andrielle Alves Araujo Machado (21092aa1-4130-4c10-bb84-e011636d1b3b)";"";"60,00"
"09/03/2026";"QR Code Pix enviado - Assiny Intermediacao De Negocios E Pagamentos Dig (7596c184-b052-4b9f-bac5-764f0919a08d)";"";"38,92"
"10/03/2026";"Pix recebido - Marionice Santos Silva Faria (2605b1c4-3016-4b7a-b417-d5c4953c9b65)";"120,00";""
"10/03/2026";"Pix recebido - Gabriel Rodrigues De Oliveira (35d62315-11ae-4f6e-8e12-3f3500c30e05)";"50,00";""
"11/03/2026";"Pix enviado - Igreja Apostolica E Profetica (370c6ca0-a5e9-4a70-845c-4472adfd79fa)";"";"50,00"
"15/03/2026";"Vendas - Disponivel PIX (f3da8bf2-75f3-4582-b1b4-2a0f4acff3a6)";"14,72";""
"15/03/2026";"Vendas - Disponivel PIX (98b52dc9-217c-470d-b247-6c5d061ce143)";"14,72";""
"15/03/2026";"Vendas - Disponivel PIX (adcdad71-0dec-4d6f-9bac-bf7b39203d57)";"14,72";""
"15/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (6435264f-e1df-4dbb-a4c9-92f884855fc0)";"14,64";""
"15/03/2026";"Vendas - Disponivel PIX (fdea6e13-b2dd-4030-a289-9cd94ac688ff)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (0a6e609d-abe5-4b54-87da-d2dd5ee295b4)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (764c8460-53cb-48e9-9ff8-b6b9af01c69a)";"14,85";""
"15/03/2026";"Vendas - Disponivel DEBITO VISA (5839799a-a6dd-4c04-9248-d1fb40c5f059)";"14,64";""
"15/03/2026";"Vendas - Disponivel PIX (8d88cac0-b698-4ab5-af31-277a4f07963e)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (73852231-acd5-43ab-bad4-364824aa4e35)";"44,55";""
"15/03/2026";"Vendas - Disponivel PIX (f281eba1-a1ab-4828-9678-471aa312fb0c)";"14,85";""
"15/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (b9777a94-d3eb-42cf-b7e9-f2b1e8f79cfa)";"29,28";""
"15/03/2026";"Vendas - Disponivel PIX (8afc27a9-6847-4ee4-b8f3-906fa4942958)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (9c686396-f57b-4a60-90c4-0d8fd9a7a5c7)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (88460f2e-7b19-4284-94dd-3a22424968be)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (09a7579b-2d0a-4d23-8dcc-08594cca0f38)";"14,85";""
"15/03/2026";"Vendas - Disponivel PIX (953097a1-84ee-46af-8cda-89e0c79bf8c0)";"14,85";""
"15/03/2026";"Pix recebido - Andrielle Alves Araujo Machado (3203e0a4-06bf-426b-9cf9-a2c85d5d99a5)";"0,01";""
"18/03/2026";"QR Code Pix enviado - Emporio Das Frutas Jm Ltda (f4759ead-031c-4a3d-a5a5-814d1049882c)";"";"27,00"
"21/03/2026";"QR Code Pix enviado - Americanas S A Em Recuperacao Judicial (444f763b-fe89-4f43-9f73-242b54a6c153)";"";"25,98"
"21/03/2026";"QR Code Pix enviado - Zamp S.a. (e49cfe0e-db4e-4198-b0c7-21a237bf837c)";"";"58,70"
"22/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (5dbb11c2-0764-4e59-a23e-41c397db3e5e)";"19,20";""
"22/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (9f0c82af-3d3d-4ce3-9438-f8b882967ec4)";"9,60";""
"22/03/2026";"Vendas - Disponivel PIX (d3f82ce4-3f24-4f97-83de-cf154495c7cb)";"29,43";""
"22/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (d4c9db57-5341-4e2a-b4c1-86ea60f8a5a6)";"9,60";""
"22/03/2026";"Vendas - Disponivel PIX (e2bbb5e3-cd9a-487f-9f89-8dfe2a74d192)";"9,81";""
"22/03/2026";"Vendas - Disponivel PIX (e7244ea6-b878-4046-8e42-9db84cda2383)";"19,62";""
"22/03/2026";"Vendas - Disponivel DEBITO VISA (0d205e36-f9aa-4e52-af09-f2ad8acbc6bf)";"19,52";""
"22/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (0afc62b5-51d2-49d6-baf4-a8243b764be4)";"9,76";""
"22/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (c2cfb802-d88c-4415-bdda-5308233edee7)";"9,60";""
"22/03/2026";"Vendas - Disponivel DEBITO VISA (3e65ae24-8e68-4002-8f35-6188e9093e0f)";"9,76";""
"22/03/2026";"Vendas - Disponivel PIX (8cd6b8d5-f5d8-4174-9cbf-7a253cac8db5)";"9,81";""
"22/03/2026";"Vendas - Disponivel PIX (f57d227a-bc1e-438c-9a5c-e947b490ea28)";"9,81";""
"22/03/2026";"Vendas - Disponivel PIX (89ce8dc8-747c-48a6-8dea-92207b40e467)";"4,91";""
"22/03/2026";"Vendas - Disponivel PIX (7481b03b-6a23-48c0-9841-a960735b87ac)";"29,43";""
"22/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (76ed80a4-7944-4247-a367-7709c2790657)";"9,60";""
"22/03/2026";"Vendas - Disponivel PIX (9bb4721a-4920-42e1-9c07-e2d548d1ba1d)";"19,62";""
"22/03/2026";"Vendas - Disponivel CREDITO ELO (cfa15568-2179-48b4-9977-07986c568d6c)";"18,77";""
"22/03/2026";"Pix recebido - V G Dos Santos Torneadora Ltda (ea60d1b3-d5bc-4e93-a5ef-cfcc8593cf11)";"20,00";""
"22/03/2026";"Vendas - Disponivel PIX (909a6e2b-f632-45d5-9fe7-dea9d452b07a)";"19,62";""
"22/03/2026";"Pix recebido - Maria De Lourdes Santos De Moraes (d87e54f1-42a4-4403-9888-e50beda96d1b)";"5,00";""
"22/03/2026";"Vendas - Disponivel PIX (14d4dd4f-00e5-4567-a7a4-36e07dd74760)";"9,81";""
"22/03/2026";"Pix enviado - Igreja Apostolica E Profetica (798c1cf5-eea9-4fe2-aa34-0248102ed2ca)";"";"40,00"
"22/03/2026";"Pix enviado - Igreja Apostolica E Profetica (8482e022-e577-478e-952f-71f885d1c8a9)";"";"20,00"
"23/03/2026";"Rendimento da conta - Rendimento líquido sobre dinheiro em conta (0d8ab755-6a5d-00a2-b281-a2e1400f851a)";"0,08";""
"26/03/2026";"Pix enviado - Igreja Apostolica E Profetica (46e7ca5e-adb2-4a3f-87c9-97456a278a9e)";"";"1200,00"
"27/03/2026";"Pix enviado - Igreja Apostolica E Profetica (4394d608-9d65-4098-8da5-cb66ebd800d8)";"";"861,90"
"27/03/2026";"Pix enviado - Andrielle Alves Araujo Machado (260bc44f-ce62-493b-b8b4-081d9cb4f21c)";"";"300,00"
"29/03/2026";"Pix recebido - Emilia De Rodat Alves De Aguiar Pereira (54b976bd-4a90-4020-b5d8-9ae681a3acf1)";"18,00";""
"29/03/2026";"Vendas - Disponivel PIX (b09f2d5f-e7f3-4e57-8304-f6dc44fadb48)";"17,66";""
"29/03/2026";"Vendas - Disponivel DEBITO VISA (1f77ddec-8b95-4d69-845a-0e76e47849e0)";"27,33";""
"29/03/2026";"Vendas - Disponivel CREDITO VISA (4bc6b6ee-aebe-43c4-b835-03ebfc7c3741)";"26,88";""
"29/03/2026";"Vendas - Disponivel PIX (e58e2d30-bd4e-458c-a29c-d67453c24ca0)";"35,32";""
"29/03/2026";"Vendas - Disponivel PIX (4834fe5a-02e7-4bd1-ab08-518476e028c1)";"45,13";""
"29/03/2026";"Vendas - Disponivel PIX (d9ebb152-0c26-4391-a27e-8cedfdbda44e)";"35,32";""
"29/03/2026";"Vendas - Disponivel DEBITO VISA (b70668d0-5562-4a1f-a1f0-26ebac9fb881)";"35,14";""
"29/03/2026";"Vendas - Disponivel PIX (b1f6c6ac-f74d-4dad-b740-eb0e252b21e4)";"17,66";""
"29/03/2026";"Vendas - Disponivel PIX (083dfdb2-8277-479a-a5fd-540747e950a5)";"17,66";""
"29/03/2026";"Vendas - Disponivel PIX (e98a2380-9b28-4a93-966a-7a0f3a1e7aed)";"15,70";""
"29/03/2026";"Vendas - Disponivel DEBITO VISA (852f587a-f953-4aeb-a2f3-20df6206e302)";"27,33";""
"29/03/2026";"Vendas - Disponivel PIX (cbf4c255-112e-4a81-9ab7-b199f4c6cc90)";"17,66";""
"29/03/2026";"Vendas - Disponivel DEBITO MASTERCARD (9f5887d1-f6c1-4eca-bcbe-4baf1dbcb712)";"17,57";""
"29/03/2026";"Vendas - Disponivel PIX (e8ea0d6c-7ed0-4e19-82dd-dbbdea115aee)";"9,81";""
"29/03/2026";"Vendas - Disponivel PIX (f4ea4004-3d98-4aba-8db7-e5a9e4d068ba)";"17,66";""
"29/03/2026";"Vendas - Disponivel PIX (b6ef0ed6-74b7-4ab9-b827-9e309e6d638c)";"9,81";""
"29/03/2026";"Vendas - Disponivel PIX (f00d56a4-0f5c-4db3-8bbf-ff47ede77406)";"17,66";""
"29/03/2026";"Vendas - Disponivel PIX (6c03d9e0-8d35-4995-a1de-b6ef01259fd3)";"17,66";""
"29/03/2026";"Vendas - Disponivel CREDITO MASTERCARD (7e513bc1-667d-4783-b49d-d42c073f90d1)";"17,28";""
"29/03/2026";"Vendas - Disponivel PIX (c133a301-7b0f-414c-8fc1-889e32569276)";"17,66";""
"29/03/2026";"Vendas - Disponivel PIX (759b19be-b809-4344-b772-64d40b4e7077)";"35,32";""
"29/03/2026";"Vendas - Disponivel PIX (6260c1ff-9abe-46b9-90c5-ea84d7812538)";"17,66";""
