"Data";"Descrição";"Crédito";"Débito"
"01/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"610,42"
"02/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"45,27"
"03/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"537,00";""
"04/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"582,35"
"08/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"869,40";""
"09/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"363,90"
"10/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"610,12";""
"11/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"639,80"
"14/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"31,11"
"15/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"3.155,27"
"16/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"56,64"
"22/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.819,95";""
"23/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"372,52";""
"24/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"185,00"
"25/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"174,36";""
"28/04/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.322,37"
"29/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"712,54";""
"30/04/2025";"Aplicação Conta Max - contrapartida da conta corrente";"2.253,23";""
"30/04/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,10";""
