"Data";"Descrição";"Crédito";"Débito"
"04/08/2025";"Resgate Conta Max";"";"2.908,74"
"05/08/2025";"Aplicação Conta Max";"795,87";""
"05/08/2025";"Resgate Conta Max";"";"133,60"
"07/08/2025";"Aplicação Conta Max";"922,20";""
"08/08/2025";"Resgate Conta Max";"";"680,68"
"11/08/2025";"Resgate Conta Max";"";"518,19"
"12/08/2025";"Aplicação Conta Max";"1.262,45";""
"13/08/2025";"Resgate Conta Max";"";"3.118,85"
"14/08/2025";"Aplicação Conta Max";"916,53";""
"15/08/2025";"Resgate Conta Max";"";"456,37"
"18/08/2025";"Resgate Conta Max";"";"149,65"
"18/08/2025";"Aplicação Conta Max";"3.017,07";""
"20/08/2025";"Aplicação Conta Max";"3.589,13";""
"20/08/2025";"Cancelamento Aplicação Conta Max";"";"3.589,13"
"20/08/2025";"Aplicação Conta Max";"3.579,91";""
"21/08/2025";"Resgate Conta Max";"";"1.688,34"
"25/08/2025";"Resgate Conta Max";"";"376,34"
"26/08/2025";"Resgate Conta Max";"";"2.843,59"
"27/08/2025";"Resgate Conta Max";"";"794,06"
"29/08/2025";"Resgate Conta Max";"";"480,59"
"29/08/2025";"Aplicação Conta Max";"466,37";""
"29/08/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,09";""
