"Data";"Descrição";"Crédito";"Débito"
"02/12/2025";"Aplicação Conta Max";"211,20";""
"03/12/2025";"Aplicação Conta Max";"1.540,92";""
"04/12/2025";"Resgate Conta Max";"";"45,89"
"05/12/2025";"Aplicação Conta Max";"1.090,39";""
"08/12/2025";"Resgate Conta Max";"";"3.120,95"
"09/12/2025";"Aplicação Conta Max";"3.982,91";""
"10/12/2025";"Resgate Conta Max";"";"478,91"
"11/12/2025";"Aplicação Conta Max";"1.421,67";""
"12/12/2025";"Aplicação Conta Max";"3.043,35";""
"15/12/2025";"Resgate Conta Max";"";"4.627,65"
"16/12/2025";"Aplicação Conta Max";"1.384,47";""
"17/12/2025";"Aplicação Conta Max";"760,66";""
"18/12/2025";"Aplicação Conta Max";"427,26";""
"19/12/2025";"Aplicação Conta Max";"799,36";""
"22/12/2025";"Resgate Conta Max";"";"4.570,04"
"23/12/2025";"Aplicação Conta Max";"5.056,62";""
"24/12/2025";"Resgate Conta Max";"";"395,47"
"26/12/2025";"Resgate Conta Max";"";"652,34"
"29/12/2025";"Resgate Conta Max";"";"5.106,89"
"30/12/2025";"Aplicação Conta Max";"148,62";""
"31/12/2025";"Aplicação Conta Max";"638,24";""
"31/12/2025";"Aplicação Conta Max";"3.572,30";""
"31/12/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,28";""
