"Data";"Descrição";"Crédito";"Débito"
"03/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"6.077,55";""
"04/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"666,86"
"05/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.647,11"
"06/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"160,94"
"07/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.716,67"
"10/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"7.386,20";""
"11/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.299,88"
"12/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"4.698,87"
"13/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"276,94";""
"14/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"373,45";""
"17/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"690,26"
"18/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"173,59";""
"19/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"595,89"
"20/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"3.155,30"
"21/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"435,06"
"24/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"950,56";""
"25/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"337,60"
"26/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"450,08";""
"27/02/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"313,35"
"28/02/2025";"Aplicação Conta Max - contrapartida da conta corrente";"566,54";""
"28/02/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,14";""
