"Data";"Descrição";"Crédito";"Débito"
"05/01/2026";"Resgate Conta Max";"";"2.868,11"
"06/01/2026";"Resgate Conta Max";"";"415,95"
"07/01/2026";"Resgate Conta Max";"";"375,05"
"08/01/2026";"Aplicação Conta Max";"917,66";""
"09/01/2026";"Aplicação Conta Max";"2.671,05";""
"12/01/2026";"Aplicação Conta Max";"5.328,40";""
"13/01/2026";"Resgate Conta Max";"";"8.034,27"
"13/01/2026";"Resgate Conta Max";"";"1.643,25"
"15/01/2026";"Resgate Conta Max";"";"165,56"
"16/01/2026";"Resgate Conta Max";"";"699,64"
"19/01/2026";"Resgate Conta Max";"";"3,61"
"20/01/2026";"Aplicação Conta Max";"925,19";""
"21/01/2026";"Resgate Conta Max";"";"355,99"
"22/01/2026";"Resgate Conta Max";"";"281,03"
"23/01/2026";"Aplicação Conta Max";"5.657,37";""
"26/01/2026";"Resgate Conta Max";"";"578,21"
"27/01/2026";"Resgate Conta Max";"";"6.852,45"
"28/01/2026";"Aplicação Conta Max";"981,88";""
"29/01/2026";"Aplicação Conta Max";"1.321,84";""
"30/01/2026";"Resgate Conta Max";"";"615,61"
"30/01/2026";"Aplicação Conta Max";"1.330,36";""
"30/01/2026";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,11";""
