"Data";"Descrição";"Crédito";"Débito"
"02/07/2025";"Aplicação Conta Max";"493,92";""
"03/07/2025";"Aplicação Conta Max";"3.322,90";""
"04/07/2025";"Resgate Conta Max";"";"3.337,87"
"07/07/2025";"Resgate Conta Max";"";"201,90"
"08/07/2025";"Aplicação Conta Max";"3.123,80";""
"09/07/2025";"Resgate Conta Max";"";"1.943,26"
"10/07/2025";"Aplicação Conta Max";"991,85";""
"11/07/2025";"Aplicação Conta Max";"1.616,79";""
"14/07/2025";"Resgate Conta Max";"";"993,50"
"15/07/2025";"Resgate Conta Max";"";"1.804,83"
"16/07/2025";"Aplicação Conta Max";"4.415,28";""
"17/07/2025";"Aplicação Conta Max";"1.547,70";""
"18/07/2025";"Resgate Conta Max";"";"1.959,48"
"21/07/2025";"Resgate Conta Max";"";"861,20"
"22/07/2025";"Resgate Conta Max";"";"2.344,48"
"23/07/2025";"Resgate Conta Max";"";"1.154,60"
"25/07/2025";"Resgate Conta Max";"";"685,23"
"28/07/2025";"Aplicação Conta Max";"603,05";""
"29/07/2025";"Aplicação Conta Max";"927,00";""
"31/07/2025";"Aplicação Conta Max";"982,72";""
"31/07/2025";"Aplicação Conta Max";"788,53";""
"31/07/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,21";""
