"Data";"Descrição";"Crédito";"Débito"
"02/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"2.478,37";""
"03/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"555,95";""
"04/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"473,37";""
"05/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.377,54"
"06/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"278,70"
"09/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"6.687,79";""
"10/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.007,02"
"11/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"493,70"
"12/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"205,55"
"13/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.398,63"
"16/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.041,27"
"17/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"286,25";""
"18/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"12,19"
"20/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"208,34"
"23/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.855,84"
"24/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"254,54"
"25/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"2.174,82";""
"26/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"330,50"
"27/06/2025";"Aplicação Conta Max - contrapartida da conta corrente";"562,38";""
"30/06/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.642,25"
"30/06/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,16";""
