"Data";"Descrição";"Crédito";"Débito"
"02/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"664,54"
"05/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"2.012,75";""
"06/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"475,25"
"07/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"100,96";""
"08/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.245,73";""
"09/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"70,00"
"12/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"356,86"
"13/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.409,31"
"14/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.123,52";""
"15/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"258,50";""
"16/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"538,83"
"19/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"2.833,22";""
"20/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"4.511,89"
"21/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"465,87";""
"22/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"195,56"
"23/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"204,69"
"26/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.179,61"
"27/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.098,55";""
"28/05/2025";"Aplicação Conta Max - contrapartida da conta corrente";"421,86";""
"29/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"469,55"
"30/05/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.465,08"
"30/05/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,16";""
