"Data";"Descrição";"Crédito";"Débito"
"03/03/2026";"Aplicação Conta Max";"2.650,63";""
"04/03/2026";"Resgate Conta Max";"";"1.136,97"
"05/03/2026";"Aplicação Conta Max";"1.020,31";""
"06/03/2026";"Resgate Conta Max";"";"1.796,28"
"09/03/2026";"Aplicação Conta Max";"1.177,88";""
"09/03/2026";"Resgate Conta Max";"";"660,06"
"09/03/2026";"Cancelamento Resgate Conta Max";"660,06";""
"10/03/2026";"Resgate Conta Max";"";"650,16"
"11/03/2026";"Aplicação Conta Max";"918,60";""
"12/03/2026";"Aplicação Conta Max";"2.802,33";""
"13/03/2026";"Resgate Conta Max";"";"2.769,42"
"16/03/2026";"Resgate Conta Max";"";"1.301,28"
"16/03/2026";"Resgate Conta Max";"";"53,59"
"18/03/2026";"Aplicação Conta Max";"4.742,09";""
"19/03/2026";"Aplicação Conta Max";"3.042,69";""
"20/03/2026";"Resgate Conta Max";"";"1.954,40"
"23/03/2026";"Resgate Conta Max";"";"218,64"
"24/03/2026";"Resgate Conta Max";"";"6.392,27"
"24/03/2026";"Resgate Conta Max";"";"1.177,32"
"26/03/2026";"Resgate Conta Max";"";"140,82"
"27/03/2026";"Resgate Conta Max";"";"1.244,43"
"30/03/2026";"Aplicação Conta Max";"1.080,00";""
"31/03/2026";"Aplicação Conta Max";"3.410,35";""
"31/03/2026";"Resgate Conta Max";"";"945,40"
"31/03/2026";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,18";""
