"Data";"Descrição";"Crédito";"Débito"
"04/11/2025";"Aplicação Conta Max";"2.176,81";""
"05/11/2025";"Resgate Conta Max";"";"443,43"
"06/11/2025";"Resgate Conta Max";"";"2.461,54"
"07/11/2025";"Resgate Conta Max";"";"273,97"
"10/11/2025";"Aplicação Conta Max";"1.192,74";""
"11/11/2025";"Aplicação Conta Max";"2.569,68";""
"12/11/2025";"Aplicação Conta Max";"162,97";""
"13/11/2025";"Resgate Conta Max";"";"4.327,15"
"14/11/2025";"Resgate Conta Max";"";"927,36"
"17/11/2025";"Resgate Conta Max";"";"717,55"
"18/11/2025";"Resgate Conta Max";"";"996,66"
"19/11/2025";"Resgate Conta Max";"";"111,85"
"21/11/2025";"Aplicação Conta Max";"181,03";""
"24/11/2025";"Resgate Conta Max";"";"680,00"
"25/11/2025";"Resgate Conta Max";"";"38,10"
"26/11/2025";"Aplicação Conta Max";"2.359,81";""
"27/11/2025";"Aplicação Conta Max";"851,65";""
"28/11/2025";"Resgate Conta Max";"";"809,10"
"28/11/2025";"Resgate Conta Max";"";"604,18"
"28/11/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,09";""
