"Data";"Descrição";"Crédito";"Débito"
"02/09/2025";"Resgate Conta Max";"";"499,47"
"03/09/2025";"Aplicação Conta Max";"3.480,61";""
"04/09/2025";"Aplicação Conta Max";"3.054,46";""
"05/09/2025";"Resgate Conta Max";"";"993,01"
"08/09/2025";"Resgate Conta Max";"";"2.803,03"
"09/09/2025";"Aplicação Conta Max";"5.042,07";""
"10/09/2025";"Resgate Conta Max";"";"323,90"
"11/09/2025";"Aplicação Conta Max";"1.100,38";""
"12/09/2025";"Aplicação Conta Max";"1.084,34";""
"15/09/2025";"Resgate Conta Max";"";"5.017,22"
"16/09/2025";"Aplicação Conta Max";"2.620,36";""
"17/09/2025";"Resgate Conta Max";"";"526,88"
"18/09/2025";"Aplicação Conta Max";"991,54";""
"19/09/2025";"Resgate Conta Max";"";"358,80"
"22/09/2025";"Resgate Conta Max";"";"939,16"
"23/09/2025";"Aplicação Conta Max";"813,94";""
"24/09/2025";"Resgate Conta Max";"";"937,33"
"25/09/2025";"Aplicação Conta Max";"505,45";""
"26/09/2025";"Resgate Conta Max";"";"4.051,15"
"29/09/2025";"Resgate Conta Max";"";"5,61"
"30/09/2025";"Resgate Conta Max";"";"1.256,51"
"30/09/2025";"Aplicação Conta Max";"229,15";""
"30/09/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,34";""
